;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
29;The Age of Shadows;2016;12;140;['Action', ' History', ' Thriller            '];7.1;78;Korean resistance fighters smuggle explosives to destroy facilities controlled by Japanese forces in this period action thriller.;['Jee-woon Kim', None];['Zach Aguilar', 'Lee Byung-hun', 'Song Kang-ho', 'Gong Yoo']
30;D'abord, ils ont tué mon père;2017;16;136;['Biography', ' Drama', ' History            '];7.1;72;Cambodian author and human rights activist Loung Ung recounts the horrors she suffered as a child under the rule of the deadly Khmer Rouge.;['Angelina Jolie', None];['Sareum Srey Moch', 'Phoeung Kompheak', 'Sveng Socheata', 'Mun Kimhak']
31;The Dig;2021;13;112;['Biography', ' Drama', ' History            '];7.1;73;An archaeologist embarks on the historically important excavation of Sutton Hoo in 1938.;['Simon Stone', None];['Carey Mulligan', 'Ralph Fiennes', 'Lily James', 'Johnny Flynn']
32;Myeong-ryang;2014;Tous publics;128;['Action', ' Drama', ' History            '];7.1;-1;Admiral Yi Sun-sin faces a tough challenge when he is forced to defend his nation with just 13 battleships against 300 Japanese enemy ships in the Battle of Myeongryang.;['Han-min Kim', None];['Choi Min-sik', 'Seung-ryong Ryu', 'Cho Jin-woong', 'Kim Myung-gon']
33;Mandela: Un long chemin vers la liberté;2013;Tous publics;141;['Biography', ' Drama', ' History            '];7.1;60;A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.;['Justin Chadwick', None];['Idris Elba', 'Naomie Harris', 'Terry Pheto', 'Robert Hobbs']
34;Into the White;I) (2012;R;104;['Action', ' Biography', ' Drama            '];7.1;-1;Norway, WWII: A group of British and German soldiers find themselves stranded in the wilderness after an aircraft battle. Finding shelter in the same cabin, they realize the only way to survive the winter is to place the rules of war aside.;['Petter Næss', None];['Florian Lukas', 'David Kross', 'Lachlan Nieboer', 'Stig Henrik Hoff']
35;Deepwater;2016;Tous publics avec avertissement;107;['Action', ' Drama', ' History            '];7.1;68;A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history.;['Peter Berg', None];['Mark Wahlberg', 'Kurt Russell', 'Douglas M. Griffin', 'James DuMont']
36;We Want Sex Equality;2010;Tous publics;113;['Biography', ' Comedy', ' Drama            '];7.1;65;A dramatization of the 1968 strike at the Ford Dagenham car plant, where female workers walked out in protest against sexual discrimination.;['Nigel Cole', None];['Sally Hawkins', 'Bob Hoskins', 'Andrea Riseborough', 'Jaime Winstone']
37;Agora;2009;Tous publics;127;['Adventure', ' Biography', ' Drama            '];7.1;55;A historical drama set in Roman Egypt, concerning a slave who turns to the rising tide of Christianity in the hope of pursuing freedom while falling in love with his mistress, the philosophy and mathematics professor Hypatia of Alexandria.;['Alejandro Amenábar', None];['Rachel Weisz', 'Max Minghella', 'Oscar Isaac', 'Ashraf Barhom']
38;The Northman;2022;12;137;['Action', ' Adventure', ' Drama            '];7.1;82;A young Viking prince is on a quest to avenge his father's murder.;['Robert Eggers', None];['Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Ethan Hawke']
39;Les insurgés;I) (2008;Tous publics;137;['Action', ' Drama', ' History            '];7.1;58;Jewish brothers in Nazi-occupied Eastern Europe escape into the Belarussian forests, where they join Russian resistance fighters, and endeavor to build a village, in order to protect themselves and about one thousand Jewish non-combatants.;['Edward Zwick', None];['Daniel Craig', 'Liev Schreiber', 'Jamie Bell', 'Alexa Davalos']
40;Walkyrie;2008;Tous publics;121;['Drama', ' History', ' Thriller            '];7.1;56;A dramatization of the July 20, 1944 assassination and political coup plot by desperate renegade German Army officers against Adolf Hitler during World War II.;['Bryan Singer', None];['Tom Cruise', 'Bill Nighy', 'Carice van Houten', 'Kenneth Branagh']
41;Silence;I) (2016;Tous publics avec avertissement;161;['Drama', ' History            '];7.1;79;In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.;['Martin Scorsese', None];['Andrew Garfield', 'Adam Driver', 'Liam Neeson', 'Tadanobu Asano']
42;Goodbye Bafana;2007;R;118;['Biography', ' Drama', ' History            '];7.1;-1;Goodbye Bafana is the true story of a white South African racist whose life was profoundly altered by the black prisoner he guarded for twenty years. The prisoner's name was Nelson Mandela.;['Bille August', None];['Joseph Fiennes', 'Dennis Haysbert', 'Diane Kruger', 'Patrick Lyster']
43;Mémoires de nos pères;2006;Tous publics avec avertissement;135;['Action', ' Adventure', ' Drama            '];7.1;79;The life stories of the six men who raised the flag at the Battle of Iwo Jima, a turning point in World War II.;['Clint Eastwood', None];['Ryan Phillippe', 'Barry Pepper', 'Joseph Cross', 'Jesse Bradford']
44;Nous étions soldats;2002;12;138;['Action', ' Drama', ' History            '];7.1;65;The story of the first major battle of the American phase of the Vietnam War, and the soldiers on both sides that fought it, while their wives wait nervously and anxiously at home for the good news or the bad news.;['Randall Wallace', None];['Mel Gibson', 'Madeleine Stowe', 'Greg Kinnear', 'Sam Elliott']
45;Shakespeare in Love;1998;Tous publics;123;['Comedy', ' Drama', ' History            '];7.1;87;The world's greatest ever playwright, William Shakespeare, is young, out of ideas and short of cash, but meets his ideal woman and is inspired to write one of his most famous plays.;['John Madden', None];['Gwyneth Paltrow', 'Joseph Fiennes', 'Geoffrey Rush', 'Tom Wilkinson']
46;Titus;1999;Tous publics;162;['Drama', ' History', ' Thriller            '];7.1;57;Titus returns victorious from war, only to plant the seeds of future turmoil for himself and his family.;['Julie Taymor', None];"['Anthony Hopkins', 'Jessica Lange', 'Osheen Jones', ""Dario D'Ambrosi""]"
47;Sept ans au Tibet;1997;Tous publics;136;['Adventure', ' Biography', ' Drama            '];7.1;55;True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.;['Jean-Jacques Annaud', None];['Brad Pitt', 'David Thewlis', 'BD Wong', 'Mako']
48;Nixon;1995;Tous publics;192;['Biography', ' Drama', ' History            '];7.1;66;A biographical story of former U.S. President Richard Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.;['Oliver Stone', None];['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris']
49;Balto chien-loup, héros des neiges;1995;Tous publics;78;['Animation', ' Adventure', ' Drama            '];7.1;-1;An outcast Husky risks his life with other sled dogs to prevent a deadly epidemic from ravaging Nome, Alaska.;['Simon Wells', None];['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings']
0;Le mystère Silkwood;1983;NaN;131;['Biography', ' Drama', ' History            '];7.1;64;A worker at a plutonium processing plant is purposefully contaminated, psychologically tortured and possibly murdered to prevent her from exposing worker safety violations at the plant.;['Mike Nichols', None];['Meryl Streep', 'Kurt Russell', 'Cher', 'Craig T. Nelson']
1;Quo Vadis;1951;Tous publics;171;['Biography', ' Drama', ' History            '];7.1;-1;After fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia, he begins to question the tyrannical leadership of the despotic emperor Nero.;['    Directors:', 'Mervyn LeRoy, ', 'Anthony Mann', None];['Robert Taylor', 'Deborah Kerr', 'Leo Genn', 'Peter Ustinov']
2;American Animals;2018;10;116;['Biography', ' Crime', ' Drama            '];7.0;68;Four young men mistake their lives for a movie and attempt one of the most audacious heists in U.S. history.;['Bart Layton', None];['Spencer Reinhard', 'Warren Lipka', 'Eric Borsuk', 'Chas Allen']
3;My Wonder Women;2017;Tous publics;108;['Biography', ' Drama', ' History            '];7.0;68;The story of psychologist William Moulton Marston, and his polyamorous relationship with his wife and their mistress who would inspire his creation of the superheroine, Wonder Woman.;['Angela Robinson', None];['Luke Evans', 'Rebecca Hall', 'Bella Heathcote', 'Connie Britton']
4;USS Greyhound: La bataille de l'Atlantique;2020;Tous publics;91;['Action', ' Drama', ' History            '];7.0;64;Several months after the U.S. entry into World War II, an inexperienced U.S. Navy commander must lead an Allied convoy being stalked by a German submarine wolf pack.;['Aaron Schneider', None];['Tom Hanks', 'Elisabeth Shue', 'Stephen Graham', 'Matt Helm']
5;Résistance;2015;NaN;110;['Action', ' Biography', ' Drama            '];7.0;-1;A story of Lyudmila Pavlichenko, the most successful female sniper in history.;['Sergey Mokritskiy', None];['Yuliya Peresild', 'Evgeniy Tsyganov', 'Oleg Vasilkov', 'Nikita Tarasov']
6;Colonia;2015;Tous publics avec avertissement;110;['Biography', ' Drama', ' History            '];7.0;33;A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from.;['Florian Gallenberger', None];['Emma Watson', 'Daniel Brühl', 'Michael Nyqvist', 'Richenda Carey']
7;La promesse d'une vie;2014;Tous publics;111;['Drama', ' History', ' War            '];7.0;50;An Australian man travels to Turkey after the Battle of Gallipoli to try to locate his three missing sons.;['Russell Crowe', None];['Russell Crowe', 'Olga Kurylenko', 'Jai Courtney', 'Isabel Lucas']
8;Ip Man 3;2015;PG-13;105;['Action', ' Biography', ' Drama            '];7.0;57;When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand.;['Wilson Yip', None];['Donnie Yen', 'Lynn Xiong', 'Jin Zhang', 'Mike Tyson']
9;Ip man 4: Le dernier combat;2019;Tous publics;107;['Action', ' Biography', ' Drama            '];7.0;62;The Kung Fu master travels to the U.S. where his student has upset the local martial arts community by opening a Wing Chun school.;['Wilson Yip', None];['Donnie Yen', 'Scott Adkins', 'Danny Kwok-Kwan Chan', 'Vanness Wu']
10;The Lady;2011;Tous Public;132;['Biography', ' Drama', ' History            '];7.0;43;The story of Aung San Suu Kyi as she becomes the core of Burma's democracy movement, and her relationship with her husband, writer Michael Aris.;['Luc Besson', None];['Michelle Yeoh', 'David Thewlis', 'Jonathan Raggett', 'Jonathan Woodhouse']
11;La femme du gardien de zoo;2017;Tous Public;127;['Biography', ' Drama', ' History            '];7.0;57;Keepers of the Warsaw Zoo, Antonina and Jan Zabinski, must save hundreds of people and animals during the Nazi invasion in WWII Poland.;['Niki Caro', None];['Jessica Chastain', 'Johan Heldenbergh', 'Daniel Brühl', 'Timothy Radford']
12;Le prodige;2014;Tous publics;115;['Biography', ' Drama', ' History            '];7.0;65;Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire.;['Edward Zwick', None];['Tobey Maguire', 'Liev Schreiber', 'Peter Sarsgaard', 'Michael Stuhlbarg']
13;Public Enemies;2009;Tous publics;140;['Action', ' Biography', ' Crime            '];7.0;70;The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson, and Pretty Boy Floyd during a booming crime wave in the 1930s.;['Michael Mann', None];['Christian Bale', 'Johnny Depp', 'Christian Stolte', 'Jason Clarke']
14;Foxcatcher;2014;Tous publics;134;['Biography', ' Drama', ' History            '];7.0;81;"U.S. Olympic wrestling champions and brothers Mark Schultz and Dave Schultz join ""Team Foxcatcher"", led by eccentric multi-millionaire John du Pont, as they train for the 1988 Olympic Games in Seoul, South Korea, but John's self-destructive behavior threatens to consume them all.";['Bennett Miller', None];['Steve Carell', 'Channing Tatum', 'Mark Ruffalo', 'Vanessa Redgrave']
15;Winter in wartime;2008;R;103;['Drama', ' History', ' War            '];7.0;66;In the Nazi-occupied Netherlands, a teenage boy gets involved in the Dutch Resistance after coming to the aid of a wounded RAF pilot.;['Martin Koolhoven', None];['Martijn Lakemeier', 'Jamie Campbell Bower', 'Yorick van Wageningen', 'Raymond Thiry']
16;La guerre selon Charlie Wilson;2007;Tous publics;102;['Biography', ' Comedy', ' Drama            '];7.0;67;A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.;['Mike Nichols', None];['Tom Hanks', 'Julia Roberts', 'Philip Seymour Hoffman', 'Amy Adams']
17;Agent double;2007;Unrated;110;['Biography', ' Crime', ' Drama            '];7.0;74;FBI upstart Eric O'Neill enters into a power game with his boss, Robert Hanssen, an agent who was put on trial for selling secrets to the Soviet Union.;['Billy Ray', None];['Chris Cooper', 'Ryan Phillippe', 'Dennis Haysbert', 'Laura Linney']
18;Bobby;I) (2006;R;117;['Biography', ' Drama', ' History            '];7.0;54;The story of the assassination of U.S. Senator Robert F. Kennedy, who was shot in the early morning hours of June 5, 1968 in the Ambassador Hotel in Los Angeles, California, and twenty-two people in the hotel, whose lives were never the same.;['Emilio Estevez', None];['Anthony Hopkins', 'Demi Moore', 'Sharon Stone', 'Harry Belafonte']
