;name;year;certificate;runtime;genre;rating;metascore;text-muted;director;stars
21;Time Lapse;2014;12;104;['Horror', ' Sci-Fi', ' Thriller            '];6.5;50;Three friends discover a mysterious machine that takes pictures twenty-four hours into the future, and conspire to use it for personal gain, until disturbing and dangerous images begin to develop.;['Bradley King', None];"['Danielle Panabaker', ""Matt O'Leary"", 'George Finn', 'John Rhys-Davies']"
22;Crimson Peak;2015;12;119;['Drama', ' Horror', ' Mystery            '];6.5;66;In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.;['Guillermo del Toro', None];['Mia Wasikowska', 'Jessica Chastain', 'Tom Hiddleston', 'Charlie Hunnam']
23;The Mirror;2013;12;104;['Horror', ' Mystery', ' Thriller            '];6.5;61;A woman tries to exonerate her brother, who was convicted of murder, by proving that the crime was committed by a supernatural phenomenon.;['Mike Flanagan', None];['Karen Gillan', 'Brenton Thwaites', 'Katee Sackhoff', 'Rory Cochrane']
24;Insidious: Chapitre 2;2013;12;106;['Horror', ' Mystery', ' Thriller            '];6.5;40;The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily.;['James Wan', None];['Patrick Wilson', 'Rose Byrne', 'Barbara Hershey', 'Lin Shaye']
25;Scream Girl;2015;PG-13;91;['Comedy', ' Crime', ' Fantasy            '];6.5;59;A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer.;['Todd Strauss-Schulson', None];['Taissa Farmiga', 'Malin Akerman', 'Adam Devine', 'Thomas Middleditch']
26;Touristes;2012;Tous publics avec avertissement;88;['Adventure', ' Comedy', ' Crime            '];6.5;69;Chris wants to show girlfriend Tina his world, but events soon conspire against the couple and their dream caravan holiday takes a very wrong turn.;['Ben Wheatley', None];['Alice Lowe', 'Kenneth Hadley', 'Steve Oram', 'Eileen Davies']
27;You're Next;2011;16;95;['Horror', ' Thriller            '];6.5;66;When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.;['Adam Wingard', None];['Sharni Vinson', 'Joe Swanberg', 'AJ Bowen', 'Nicholas Tucci']
28;Byzantium;2012;12;118;['Drama', ' Fantasy', ' Horror            '];6.5;66;Residents of a coastal town learn, with deathly consequences, the secret shared by the two mysterious women who have sought shelter at a local resort.;['Neil Jordan', None];['Saoirse Ronan', 'Gemma Arterton', 'Sam Riley', 'Caleb Landry Jones']
29;Halloween;I) (2018;12;106;['Crime', ' Horror', ' Thriller            '];6.5;67;Laurie Strode confronts her long-time foe, Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.;['David Gordon Green', None];['Jamie Lee Curtis', 'Judy Greer', 'Andi Matichak', 'James Jude Courtney']
30;Evil Dead;2013;16;91;['Horror            '];6.5;57;Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.;['Fede Alvarez', None];['Jane Levy', 'Shiloh Fernandez', 'Jessica Lucas', 'Lou Taylor Pucci']
31;Host;II) (2020;NaN;57;['Horror', ' Mystery            '];6.5;73;Six friends hire a medium to hold a seance via Zoom during lockdown, but they get far more than they bargained for as things quickly go wrong.;['Rob Savage', None];['Haley Bishop', 'Jemma Moore', 'Emma Louise Webb', 'Radina Drandova']
32;Pontypool;2008;NaN;93;['Horror', ' Sci-Fi            '];6.5;54;A radio host interprets the possible outbreak of a deadly virus which infects the small Ontario town he is stationed in.;['Bruce McDonald', None];['Stephen McHattie', 'Lisa Houle', 'Georgina Reilly', 'Hrant Alianak']
33;Antichrist;2009;16 avec avertissement;108;['Drama', ' Horror', ' Thriller            '];6.5;49;A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage, but nature takes its course and things go from bad to worse.;['Lars von Trier', None];['Willem Dafoe', 'Charlotte Gainsbourg', 'Storm Acheche Sahlstrøm']
34;La dernière maison sur la gauche;2009;16;110;['Horror', ' Thriller            '];6.5;42;After kidnapping and brutally assaulting two young women, a gang unknowingly finds refuge at a vacation home belonging to the parents of one of the victims: a mother and father who devise an increasingly gruesome series of revenge tactics.;['Dennis Iliadis', None];['Garret Dillahunt', 'Monica Potter', 'Tony Goldwyn', 'Michael Bowen']
35;The Girl Next Door;2007;R;91;['Crime', ' Drama', ' Horror            '];6.5;29;Follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt and the boys who witness and fail to report the crime.;['Gregory Wilson', None];['William Atherton', 'Blythe Auffarth', 'Blanche Baker', 'Kevin Chamberlin']
36;The Crazies;2010;12;101;['Adventure', ' Horror            '];6.5;56;After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people.;['Breck Eisner', None];['Radha Mitchell', 'Timothy Olyphant', 'Danielle Panabaker', 'Joe Anderson']
37;Horribilis;2006;12;95;['Comedy', ' Horror', ' Sci-Fi            '];6.5;69;A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.;['James Gunn', None];['Nathan Fillion', 'Elizabeth Banks', 'Michael Rooker', 'Don Thompson']
38;La Porte des secrets;2005;12;104;['Drama', ' Horror', ' Mystery            '];6.5;47;A hospice nurse working at a spooky New Orleans plantation home finds herself entangled in a mystery involving the house's dark past.;['Iain Softley', None];['Kate Hudson', 'Peter Sarsgaard', 'Joy Bryant', 'Gena Rowlands']
39;Silent Hill;2006;12;125;['Horror', ' Mystery            '];6.5;31;A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.;['Christophe Gans', None];['Radha Mitchell', 'Laurie Holden', 'Sean Bean', 'Deborah Kara Unger']
40;Dead End;I) (2003;R;85;['Adventure', ' Horror', ' Mystery            '];6.5;-1;Christmas Eve. On his way to his in-laws with his family, Frank Harrington decides to try a shortcut, for the first time in 20 years. It turns out to be the biggest mistake of his life.;['    Directors:', 'Jean-Baptiste Andrea, ', 'Fabrice Canepa', None];['Ray Wise', 'Lin Shaye', 'Mick Cain', 'Alexandra Holden']
41;Le projet Blair Witch;1999;12;81;['Horror', ' Mystery            '];6.5;81;Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.;['    Directors:', 'Daniel Myrick, ', 'Eduardo Sánchez', None];['Heather Donahue', 'Michael C. Williams', 'Joshua Leonard', 'Bob Griffin']
42;The Faculty;1998;12;104;['Horror', ' Mystery', ' Sci-Fi            '];6.5;61;When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings.;['Robert Rodriguez', None];['Jordana Brewster', 'Clea DuVall', 'Laura Harris', 'Josh Hartnett']
43;Cabal;1990;12;102;['Action', ' Fantasy', ' Horror            '];6.5;40;A troubled young man is drawn to a mythical place called Midian where a variety of friendly monsters are hiding from humanity. Meanwhile, a sadistic serial killer is looking for a patsy.;['Clive Barker', None];['Craig Sheffer', 'David Cronenberg', 'Anne Bobby', 'Charles Haid']
44;L'expérience interdite;1990;12;115;['Drama', ' Horror', ' Sci-Fi            '];6.5;55;"Five medical students experiment with ""near death"" experiences, until the dark consequences of past tragedies begin to jeopardize their lives.";['Joel Schumacher', None];['Kiefer Sutherland', 'Kevin Bacon', 'Julia Roberts', 'William Baldwin']
45;L'Exorciste : La Suite;1990;12;110;['Drama', ' Horror', ' Mystery            '];6.5;48;A police lieutenant uncovers more than he bargained for as his investigation of a series of murders, which have all the hallmarks of the deceased Gemini serial killer, leads him to question the patients of a psychiatric ward.;['William Peter Blatty', None];['George C. Scott', 'Ed Flanders', 'Brad Dourif', 'Jason Miller']
